Borrower_ID,Client_Name,Age,Gender,Employment_Type,Monthly_Income,Num_Dependents,Loan_ID,Loan_Amount,Loan_Tenure,Interest_Rate,Loan_Type,Collateral_Value,Outstanding_Loan_Amount,Monthly_EMI,Payment_History,Num_Missed_Payments,Days_Past_Due,Recovery_Status,Collection_Attempts,Collection_Method,Legal_Action_Taken
BRW_1010,Anthony White,23,Female,Self-Employed,51185,3,LN_1010,120547,12,7.33,Personal,0.0,94278.19394851124,10448.887445843298,Missed,1,33,Pending,4,Settlement Offer,No
BRW_1011,Sarah Jackson,43,Male,Business,45794,4,LN_1011,567461,12,16.19,Personal,0.0,362973.4936989357,51537.258607691045,On-Time,0,0,Partially Recovered,1,None,No
BRW_1012,John Lewis,47,Male,Salaried,36812,1,LN_1012,1629390,12,18.05,Auto,2305208.270031818,1133838.2108697228,149421.23880881886,Delayed,1,53,Partially Recovered,1,Emails,No
BRW_1013,Mark Hernandez,28,Female,Salaried,35414,4,LN_1013,184529,60,11.69,Auto,199126.12641467855,30561.118324830666,4075.8972052527647,Delayed,5,152,Fully Recovered,0,None,No
BRW_1014,Jessica Thompson,50,Female,Self-Employed,226146,2,LN_1014,608328,12,7.22,Auto,706810.9902358357,318389.6576524677,52698.35914304106,On-Time,0,0,Fully Recovered,0,Emails,No
BRW_1015,Michelle Miller,30,Male,Salaried,142697,1,LN_1015,1390148,12,8.9,Home,1393722.4237672717,825566.9953611084,121506.03975249043,Missed,2,89,Fully Recovered,4,Emails,No
BRW_1016,Robert Moore,60,Female,Salaried,132788,4,LN_1016,139015,72,16.62,Auto,148142.9885347737,105678.37909851763,3063.143736103407,On-Time,0,0,Partially Recovered,0,None,No
BRW_1017,Cynthia Garcia,31,Male,Self-Employed,240535,2,LN_1017,1228675,48,17.33,Home,1674813.3143287904,1071951.1696557547,35663.58872289641,Delayed,4,122,Pending,4,Emails,No
BRW_1018,William Allen,54,Male,Salaried,159553,3,LN_1018,1465835,36,17.15,Auto,1723513.3169457805,239155.74554054515,52370.509769795564,On-Time,0,0,Pending,0,None,No
BRW_1019,James Taylor,56,Female,Salaried,229666,0,LN_1019,97580,24,12.17,Personal,0.0,52207.57436316023,4601.180012344574,On-Time,0,0,Fully Recovered,1,Calls,No
BRW_1020,James Anderson,29,Male,Salaried,174876,2,LN_1020,766648,36,13.74,Personal,0.0,419434.00473195175,26105.503732779915,On-Time,0,0,Pending,3,Emails,Yes
BRW_1021,John Johnson,24,Female,Salaried,140341,2,LN_1021,1672396,72,16.04,Business,0.0,1219438.444681406,36314.18856486014,Missed,2,63,Fully Recovered,2,None,No
BRW_1022,Stephanie Wilson,59,Male,Business,136786,2,LN_1022,810091,60,12.4,Auto,1172058.200717638,448186.6578788229,18184.200476349477,On-Time,0,0,Pending,1,Calls,No
BRW_1023,Steven Robinson,49,Male,Salaried,85376,0,LN_1023,618981,12,19.31,Personal,0.0,164766.87948241725,57134.78887078588,Delayed,3,97,Partially Recovered,4,None,No
BRW_1024,Michelle Lewis,38,Female,Self-Employed,93728,4,LN_1024,1229274,24,14.54,Business,0.0,555947.0658918438,59335.06554422324,On-Time,0,0,Partially Recovered,0,Settlement Offer,No
BRW_1025,Sarah Hernandez,24,Male,Salaried,103953,0,LN_1025,754768,48,5.02,Business,0.0,559570.8795443717,17388.612723547092,On-Time,0,0,Partially Recovered,3,Emails,No
BRW_1026,Donald Wilson,28,Female,Business,49356,1,LN_1026,682754,24,17.76,Business,0.0,130280.67034738512,34006.75900546473,Missed,4,143,Partially Recovered,4,Calls,No
BRW_1027,Mark Thompson,64,Male,Salaried,246099,1,LN_1027,404799,48,12.75,Personal,0.0,357193.4611110505,10809.582851057918,On-Time,0,0,Partially Recovered,4,Calls,No
BRW_1028,David Robinson,46,Female,Salaried,113842,3,LN_1028,506953,72,5.05,Personal,0.0,270023.3427179144,8176.206862736385,On-Time,0,0,Pending,0,None,No
BRW_1029,Jessica Brown,35,Female,Self-Employed,154336,0,LN_1029,713063,24,18.71,Personal,0.0,493056.2678125918,35844.131495166424,On-Time,0,0,Pending,0,Calls,No
BRW_1030,Steven Williams,41,Female,Self-Employed,138646,4,LN_1030,949330,48,6.47,Home,1088201.3583760066,615166.9352694091,22500.18320543169,On-Time,0,0,Partially Recovered,4,None,No
BRW_1031,David Robinson,62,Female,Salaried,112040,0,LN_1031,1903129,12,19.43,Personal,0.0,923627.4908484275,175776.65367074666,On-Time,0,0,Partially Recovered,4,Settlement Offer,No
BRW_1032,Emily Williams,28,Female,Salaried,92168,0,LN_1032,800084,24,6.91,Business,0.0,208130.48281810002,35789.18905981781,Delayed,5,169,Fully Recovered,1,Settlement Offer,No
BRW_1033,Emily White,24,Female,Salaried,187940,3,LN_1033,1904211,24,12.48,Home,2453736.3572302866,953988.3119550004,90065.26098790515,On-Time,0,0,Fully Recovered,4,Calls,Yes
BRW_1034,Amanda Williams,23,Male,Self-Employed,95628,3,LN_1034,699782,12,17.21,Auto,923606.5749596269,98439.2011317593,63893.20434695288,Delayed,3,119,Fully Recovered,2,None,No
BRW_1035,Joseph Hernandez,63,Female,Salaried,61223,4,LN_1035,280527,12,7.9,Business,0.0,74991.09758718188,24389.634355319813,On-Time,0,0,Fully Recovered,3,None,No
BRW_1036,Michael Clark,61,Female,Salaried,43835,0,LN_1036,1822278,60,13.97,Business,0.0,1425316.6211493234,42372.88484968081,On-Time,0,0,Pending,4,Emails,No
BRW_1037,Jessica Clark,46,Male,Business,194591,2,LN_1037,1561390,72,15.1,Business,0.0,361640.07105681836,33100.4649867776,On-Time,0,0,Fully Recovered,3,None,No
BRW_1038,Michelle Walker,54,Female,Business,125236,3,LN_1038,457074,24,8.12,Business,0.0,255962.11262333283,20697.243637767024,On-Time,0,0,Partially Recovered,1,Calls,No
BRW_1039,Thomas Martinez,23,Male,Salaried,213979,1,LN_1039,95357,60,15.77,Personal,0.0,51413.31990499742,2307.25986409325,Delayed,4,145,Fully Recovered,3,Calls,No
BRW_1040,Thomas Jones,36,Male,Salaried,120515,2,LN_1040,516601,72,5.25,Home,555066.7388731637,213674.74102915023,8379.864247215339,Delayed,3,102,Pending,3,None,No
BRW_1041,Emma King,52,Female,Self-Employed,212430,4,LN_1041,443884,24,12.55,Auto,577573.4474162939,174500.4912829816,21009.35338152179,Delayed,3,118,Partially Recovered,3,Calls,Yes
BRW_1042,Robert Wilson,62,Female,Salaried,191497,0,LN_1042,752320,12,15.12,Home,1016463.3753684885,550823.6981917735,67945.74057070482,On-Time,0,0,Fully Recovered,1,Emails,No
BRW_1043,Kathleen Jackson,28,Female,Self-Employed,233619,3,LN_1043,223434,24,15.83,Auto,257717.1733981678,137063.34952875806,10921.883328169692,Delayed,2,77,Pending,2,Emails,No
BRW_1044,William Robinson,32,Male,Salaried,49716,3,LN_1044,1639597,48,17.44,Personal,0.0,404063.39226991386,47684.70354375669,Delayed,3,93,Pending,2,Settlement Offer,No
BRW_1045,Melissa Smith,44,Male,Salaried,242488,3,LN_1045,1511542,60,10.65,Personal,0.0,326469.5403317086,32601.364702874496,On-Time,0,0,Partially Recovered,2,Settlement Offer,No
BRW_1046,Emily Moore,44,Female,Business,212204,0,LN_1046,254888,36,19.91,Auto,358194.9784969337,205494.37960123655,9460.866980659644,On-Time,0,0,Pending,0,Emails,Yes
BRW_1047,Matthew Hall,37,Male,Self-Employed,221112,3,LN_1047,1485451,48,6.65,Auto,1612614.4867386357,814481.2422242273,35330.25911029221,On-Time,0,0,Fully Recovered,0,None,No
BRW_1048,Thomas Clark,52,Male,Salaried,183736,0,LN_1048,1968903,12,13.35,Home,2008178.9762219419,905701.5392922359,176180.5244590911,On-Time,0,0,Partially Recovered,2,Settlement Offer,No
BRW_1049,Michelle Jones,25,Female,Salaried,243891,4,LN_1049,1557729,48,12.35,Personal,0.0,1054942.5767118747,41289.17994622986,On-Time,0,0,Pending,2,Emails,No
BRW_1050,Steven Johnson,64,Female,Salaried,125229,4,LN_1050,1100630,48,11.96,Business,0.0,453794.38571978186,28962.198019070995,On-Time,0,0,Partially Recovered,0,Settlement Offer,Yes
BRW_1051,Amanda White,47,Male,Self-Employed,209854,4,LN_1051,1850835,48,11.49,Auto,2737693.693205244,950174.7341453754,48277.4134097474,On-Time,0,0,Pending,2,None,No
BRW_1052,Sarah Jones,24,Male,Salaried,50439,4,LN_1052,1858334,36,6.29,Auto,2783381.3141225283,1310003.8946383118,56778.62654148401,Delayed,1,33,Partially Recovered,3,Emails,No
BRW_1053,Robert Davis,27,Female,Salaried,85163,2,LN_1053,1374911,24,17.17,Auto,1976082.8651238442,963587.2664235894,68091.07495297157,Delayed,2,66,Pending,2,None,No
BRW_1054,Kathleen Lee,45,Male,Salaried,219751,0,LN_1054,1717054,72,10.01,Auto,1872474.8528162343,979263.0658604404,31818.52333056348,On-Time,0,0,Pending,2,None,No
BRW_1055,Sharon Wilson,43,Male,Self-Employed,30684,4,LN_1055,172155,72,7.2,Business,0.0,131733.49717727365,2951.6328837301235,Missed,4,133,Partially Recovered,3,None,Yes
BRW_1056,Matthew Moore,23,Male,Salaried,33975,0,LN_1056,1493655,12,16.01,Business,0.0,755104.1746849946,135527.66787381182,Missed,2,85,Fully Recovered,2,Calls,No
BRW_1057,Charles White,44,Male,Self-Employed,36997,2,LN_1057,485971,12,16.81,Business,0.0,246677.69278491964,44279.05740293771,Delayed,2,81,Partially Recovered,2,None,No
BRW_1058,Laura Wilson,21,Male,Salaried,57483,1,LN_1058,497390,36,14.84,Home,711533.5857124786,426267.60967587616,17203.241415933284,On-Time,0,0,Pending,2,Settlement Offer,No
BRW_1059,James Lee,40,Female,Self-Employed,85709,0,LN_1059,914080,24,12.7,Business,0.0,241747.2054230362,43328.335895487966,Delayed,3,111,Partially Recovered,2,Calls,No
BRW_1060,Sharon White,28,Female,Salaried,233064,0,LN_1060,1700241,48,5.26,Business,0.0,1262816.8831477324,39355.914811623144,On-Time,0,0,Pending,3,Settlement Offer,No
BRW_1061,Mark Smith,51,Male,Self-Employed,238446,2,LN_1061,651035,60,6.51,Home,700630.276035848,527081.5076955494,12741.296964128744,Delayed,1,54,Partially Recovered,1,Calls,No
BRW_1062,William King,23,Female,Salaried,233484,3,LN_1062,1748945,60,7.61,Auto,2206228.98902976,1170567.6125234158,35136.76206517602,On-Time,0,0,Fully Recovered,2,Emails,No
BRW_1063,Jessica Jackson,25,Male,Salaried,96548,3,LN_1063,1289118,60,10.55,Personal,0.0,320443.0464671799,27740.114784190777,Missed,1,57,Pending,2,None,No
BRW_1064,Emma Anderson,43,Female,Salaried,108493,3,LN_1064,1744679,12,11.05,Business,0.0,535460.0568323458,154238.3169391258,Missed,4,127,Pending,3,Calls,No
BRW_1065,Michael Rodriguez,49,Female,Salaried,161154,1,LN_1065,1235346,72,6.17,Business,0.0,276544.59871863975,20572.529942662415,On-Time,0,0,Pending,1,Calls,No
BRW_1066,Stephanie Taylor,21,Female,Salaried,204774,3,LN_1066,1856161,12,17.31,Home,2556471.670084778,288634.7923337823,169563.89496338996,Delayed,4,142,Pending,2,Emails,Yes
BRW_1067,Laura Wilson,38,Female,Salaried,203724,0,LN_1067,1222837,60,8.87,Personal,0.0,617367.6441369683,25307.001792826588,On-Time,0,0,Pending,0,None,No
BRW_1068,Robert Thomas,24,Female,Self-Employed,64155,0,LN_1068,1164764,60,8.41,Business,0.0,236511.97026190368,23846.425402194498,On-Time,0,0,Fully Recovered,1,Calls,No
BRW_1069,Melissa Young,48,Female,Business,61844,3,LN_1069,702997,36,18.99,Home,1018609.9541069719,596459.4406972919,25765.517915934397,On-Time,0,0,Fully Recovered,0,Settlement Offer,Yes
BRW_1070,Ashley Thomas,46,Male,Salaried,50986,3,LN_1070,277066,72,6.79,Business,0.0,137506.60424922017,4695.8106281132805,Missed,4,144,Partially Recovered,3,Settlement Offer,No
BRW_1071,Sarah Moore,64,Male,Salaried,61938,0,LN_1071,1578073,24,18.9,Auto,2155813.280872498,1417023.7861216122,79471.82792837337,Delayed,4,121,Pending,2,Emails,No
BRW_1072,Charles Moore,46,Female,Salaried,77731,1,LN_1072,931325,48,12.49,Home,1183099.8589267712,223747.16711697337,24750.020122306923,Delayed,1,35,Partially Recovered,2,Emails,No
BRW_1073,John Allen,54,Female,Salaried,50660,1,LN_1073,1182691,24,6.44,Business,0.0,1048448.7815499193,52652.38411629798,Missed,1,48,Fully Recovered,2,None,No
BRW_1074,Emily Young,38,Male,Self-Employed,190792,0,LN_1074,1942076,72,8.09,Business,0.0,1703159.8921258326,34136.29318146754,Delayed,5,170,Partially Recovered,0,Emails,No
BRW_1075,Daniel Robinson,38,Female,Salaried,139212,4,LN_1075,253346,12,13.48,Home,311216.6096786621,227318.03880449015,22685.26735808261,Delayed,5,173,Partially Recovered,0,Calls,No
BRW_1076,Steven Brown,63,Male,Salaried,240155,4,LN_1076,894293,60,14.18,Home,1047632.5388677482,589830.8872016098,20892.182268076234,Delayed,3,91,Pending,4,Emails,No
BRW_1077,Thomas Rodriguez,51,Female,Salaried,82806,1,LN_1077,346373,12,17.38,Personal,0.0,310874.46517441847,31653.36071058563,On-Time,0,0,Partially Recovered,3,None,No
BRW_1078,Daniel Johnson,27,Female,Self-Employed,46505,4,LN_1078,1811443,36,9.94,Auto,2250949.6314195422,772751.6810543096,58399.15593399521,On-Time,0,0,Fully Recovered,1,None,No
BRW_1079,Laura Martin,51,Female,Business,222985,2,LN_1079,1346794,72,17.94,Personal,0.0,172977.85272012,30671.732257992808,On-Time,0,0,Partially Recovered,0,Settlement Offer,No
BRW_1080,David Lee,45,Female,Salaried,190431,2,LN_1080,398751,48,17.95,Home,418326.3750015415,58063.3400930967,11702.89479833718,Delayed,1,31,Partially Recovered,0,Emails,No
BRW_1081,Sarah Davis,41,Male,Self-Employed,246654,1,LN_1081,1928518,48,19.93,Home,2122607.047987704,380949.35592822335,58613.60028867749,Delayed,2,79,Fully Recovered,1,None,No
BRW_1082,William Walker,41,Female,Self-Employed,88435,0,LN_1082,1557937,24,19.29,Auto,1866119.764872391,1031433.1549187516,78753.13331281029,Delayed,1,50,Fully Recovered,4,None,No
BRW_1083,Matthew Thompson,31,Female,Business,35942,3,LN_1083,1017905,60,10.89,Auto,1305310.5187989457,169525.49668113582,22075.92189527266,On-Time,0,0,Pending,1,Calls,Yes
BRW_1084,Robert Thomas,31,Male,Salaried,73574,0,LN_1084,533571,12,17.66,Auto,646789.8168609407,80116.02495096857,48831.4895418312,On-Time,0,0,Partially Recovered,0,None,No
BRW_1085,William Robinson,47,Male,Self-Employed,204642,4,LN_1085,691833,60,17.34,Business,0.0,241045.77234004546,17320.56340868261,Delayed,2,80,Fully Recovered,0,None,No
BRW_1086,Donald Rodriguez,57,Male,Salaried,215329,0,LN_1086,1927471,48,11.96,Business,0.0,692405.9454947409,50719.857516165095,Delayed,4,133,Fully Recovered,3,None,No
BRW_1087,Stephanie Robinson,50,Male,Salaried,154338,1,LN_1087,1968425,12,10.43,Auto,2773410.9069166565,1533046.8490579505,173449.74168929295,Delayed,4,126,Pending,1,Emails,No
BRW_1088,Joseph Robinson,26,Male,Salaried,105221,1,LN_1088,1486861,36,16.59,Personal,0.0,1256573.4663126671,52707.7523018595,Delayed,1,37,Pending,4,Settlement Offer,No
BRW_1089,Kathleen Walker,28,Female,Salaried,131632,3,LN_1089,1109094,36,16.16,Auto,1452056.9645272424,138114.66099162557,39080.12097371094,On-Time,0,0,Pending,3,None,No
BRW_1090,Melissa Rodriguez,44,Female,Salaried,86990,2,LN_1090,1859760,72,10.36,Business,0.0,767499.5049701263,34792.191686866165,On-Time,0,0,Fully Recovered,3,None,No
BRW_1091,Ashley Rodriguez,27,Male,Salaried,126686,1,LN_1091,653694,60,18.02,Auto,769460.3842432831,148229.71940943794,16606.64413356186,On-Time,0,0,Partially Recovered,3,Emails,No
BRW_1092,James Wilson,31,Female,Salaried,154006,1,LN_1092,775578,12,15.73,Auto,1149143.900769807,429136.0481755951,70269.80022915218,On-Time,0,0,Partially Recovered,1,Calls,No
BRW_1093,William Jackson,28,Female,Salaried,65968,1,LN_1093,468859,72,9.13,Auto,648877.289993897,208215.3886597547,8481.717879639415,On-Time,0,0,Pending,3,None,No
BRW_1094,Emily Jones,47,Female,Self-Employed,170700,3,LN_1094,1056067,72,7.1,Auto,1119703.401882133,397921.08752839826,18055.64669359634,Delayed,5,153,Partially Recovered,3,Settlement Offer,No
BRW_1095,Steven Clark,37,Female,Self-Employed,69288,4,LN_1095,428403,48,13.21,Business,0.0,265774.98714790825,11537.68167781371,Delayed,1,52,Partially Recovered,1,None,No
BRW_1096,Charles Hall,29,Female,Salaried,214582,3,LN_1096,1866530,24,8.98,Personal,0.0,458623.3145925246,85254.81506315438,Delayed,2,74,Partially Recovered,1,Settlement Offer,Yes
BRW_1097,Charles Jackson,42,Male,Salaried,128959,3,LN_1097,1075684,12,6.17,Business,0.0,237760.65355158213,92664.35392161072,On-Time,0,0,Partially Recovered,3,None,No
BRW_1098,John Allen,50,Male,Self-Employed,191127,4,LN_1098,1288789,12,6.05,Auto,1832795.3017551706,449294.2136082117,110951.08854359065,On-Time,0,0,Pending,3,None,No
BRW_1099,Sharon Martin,35,Male,Self-Employed,74074,4,LN_1099,1159087,24,16.83,Personal,0.0,274193.1301345023,57213.25111278319,On-Time,0,0,Fully Recovered,2,None,No
BRW_1100,Stephanie Walker,30,Male,Salaried,85111,3,LN_1100,1877673,12,6.1,Auto,2664297.8876716783,518391.1394766134,161690.92806160043,Missed,1,56,Partially Recovered,0,Settlement Offer,No
BRW_1101,Sharon Thomas,32,Female,Salaried,110810,1,LN_1101,750291,48,9.95,Business,0.0,368016.81030696555,19011.307010911958,On-Time,0,0,Pending,0,Calls,No
BRW_1102,Ashley Martinez,21,Female,Salaried,30336,3,LN_1102,1921598,24,7.65,Auto,1986436.632605127,1705915.4474213372,86602.25270289254,Delayed,1,50,Pending,3,Calls,No
BRW_1103,Rebecca Johnson,44,Female,Salaried,205786,2,LN_1103,388759,48,11.0,Auto,417737.5213414998,270819.7585548678,10047.679524905696,On-Time,0,0,Pending,2,Calls,No
BRW_1104,Emily Moore,64,Female,Salaried,107307,2,LN_1104,1822103,60,16.36,Business,0.0,1401702.1342478383,44659.2899619319,Missed,1,33,Pending,2,Calls,No
BRW_1105,Matthew Walker,22,Female,Salaried,101226,2,LN_1105,971138,12,17.94,Personal,0.0,717824.0912049949,89006.19664439764,On-Time,0,0,Fully Recovered,1,None,No
BRW_1106,Melissa Robinson,43,Male,Self-Employed,239603,1,LN_1106,1996433,72,19.52,Home,2177613.8755924837,592923.3210589199,47266.36604535772,Delayed,5,173,Partially Recovered,2,Settlement Offer,No
BRW_1107,Jessica Williams,39,Male,Salaried,167101,4,LN_1107,885231,36,13.69,Home,1182530.1823141936,295149.1469844217,30121.984437359817,On-Time,0,0,Pending,3,Settlement Offer,No
BRW_1108,Thomas Johnson,46,Female,Self-Employed,67240,4,LN_1108,1563682,60,12.46,Business,0.0,971682.8426769126,35147.81601001344,Delayed,5,167,Pending,2,Settlement Offer,No
BRW_1109,James Garcia,39,Female,Salaried,207861,0,LN_1109,1488178,60,8.85,Personal,0.0,331486.2716038502,30783.901283984636,On-Time,0,0,Pending,1,None,No
BRW_1110,John Jones,45,Female,Salaried,179558,3,LN_1110,948437,72,18.09,Business,0.0,544960.2335845712,21680.03556758156,On-Time,0,0,Fully Recovered,3,Emails,Yes
BRW_1111,Steven Smith,42,Female,Salaried,65571,3,LN_1111,393603,48,18.05,Auto,442047.4562919986,198034.0581204798,11572.374250497653,On-Time,0,0,Pending,4,Calls,No
BRW_1112,Cynthia Taylor,28,Female,Salaried,66311,4,LN_1112,407560,72,5.51,Home,586108.1595586796,196583.44143739177,6660.576632924079,On-Time,0,0,Fully Recovered,3,Settlement Offer,No
BRW_1113,Melissa Lee,44,Male,Self-Employed,39533,1,LN_1113,613530,36,9.06,Personal,0.0,114055.71286267975,19527.22717546933,Delayed,5,174,Fully Recovered,1,Emails,No
BRW_1114,Matthew King,55,Female,Salaried,47178,1,LN_1114,1142042,24,18.99,Home,1539906.5772435188,998374.7909582647,57563.20953320744,On-Time,0,0,Partially Recovered,1,Calls,No
BRW_1115,Emma Martinez,22,Male,Salaried,40109,3,LN_1115,852251,24,8.89,Business,0.0,427254.3001898065,38891.868264300945,On-Time,0,0,Partially Recovered,2,Calls,No
BRW_1116,Thomas Harris,25,Male,Salaried,117645,2,LN_1116,1225384,72,5.69,Personal,0.0,784549.4593360525,20129.317553233348,On-Time,0,0,Partially Recovered,1,Emails,No
BRW_1117,Cynthia Jones,59,Male,Salaried,182706,4,LN_1117,1430151,72,14.92,Business,0.0,628056.3775318558,30178.463321320614,Delayed,5,173,Fully Recovered,0,None,Yes
BRW_1118,Laura Thomas,59,Male,Salaried,198422,4,LN_1118,1121120,24,11.49,Personal,0.0,950442.4730211378,52508.394121166,Delayed,1,46,Partially Recovered,0,Settlement Offer,No
BRW_1119,Rebecca Jackson,38,Male,Salaried,145110,1,LN_1119,726655,48,10.39,Auto,936765.4572139636,558076.2839896139,18566.245196781532,On-Time,0,0,Pending,3,Calls,No
BRW_1120,Kathleen Clark,23,Male,Self-Employed,245491,0,LN_1120,608911,24,9.76,Business,0.0,259598.78751862887,28030.75095982155,On-Time,0,0,Partially Recovered,0,None,No
BRW_1121,Joseph Anderson,50,Male,Salaried,128036,2,LN_1121,162409,36,11.44,Personal,0.0,50609.297987466314,5350.966977180906,Missed,2,69,Pending,1,Calls,No
BRW_1122,Donald Wilson,39,Male,Salaried,184627,0,LN_1122,1504845,36,6.78,Auto,1743202.0283375476,499372.45225493534,46314.02597611031,Delayed,3,90,Partially Recovered,3,None,No
BRW_1123,Kathleen Rodriguez,43,Male,Salaried,129876,4,LN_1123,332330,24,17.24,Home,440370.93113611557,179553.66352062116,16469.497356354197,Missed,5,163,Pending,1,Emails,No
BRW_1124,Jessica Thomas,48,Male,Salaried,47233,3,LN_1124,1388076,24,19.7,Home,1777686.3839647402,742191.8082002483,70443.97844879577,On-Time,0,0,Pending,2,Calls,No
BRW_1125,Jessica Brown,50,Female,Salaried,52331,4,LN_1125,170765,12,14.16,Business,0.0,91873.01502848208,15345.355794652198,Delayed,5,173,Fully Recovered,1,Settlement Offer,No
BRW_1126,Anthony Walker,28,Female,Salaried,97735,2,LN_1126,1433226,60,11.69,Auto,1743737.6699109913,1239414.8369712357,31657.256300611825,On-Time,0,0,Pending,4,Calls,No
BRW_1127,Laura Young,42,Female,Self-Employed,121756,4,LN_1127,1298401,60,17.43,Personal,0.0,658629.4795404662,32569.570285661695,On-Time,0,0,Fully Recovered,3,Settlement Offer,No
BRW_1128,Michelle Smith,40,Male,Salaried,138215,2,LN_1128,517628,48,9.97,Auto,767929.5023270943,219227.22283278927,13120.926962344296,On-Time,0,0,Fully Recovered,3,None,No
BRW_1129,Anthony Miller,51,Male,Salaried,130072,3,LN_1129,1333542,36,15.73,Business,0.0,288597.0894350771,46705.81355718026,On-Time,0,0,Fully Recovered,3,Settlement Offer,No
BRW_1130,Joseph Thompson,63,Male,Salaried,190378,0,LN_1130,778151,72,19.34,Business,0.0,544097.2212573264,18342.41862195126,Missed,1,30,Pending,3,Emails,No
BRW_1131,Mark Miller,47,Female,Business,133351,0,LN_1131,1828625,60,17.97,Personal,0.0,395531.15513547877,46405.21833841495,On-Time,0,0,Pending,2,Emails,No
BRW_1132,David Taylor,54,Female,Self-Employed,202811,4,LN_1132,297419,36,6.88,Auto,373836.3324351925,198377.6659566285,9167.125916342306,Delayed,4,122,Fully Recovered,0,None,No
BRW_1133,Joseph Harris,52,Female,Salaried,210529,3,LN_1133,148308,36,10.55,Auto,151425.97444369143,17686.73754958425,4823.869732517114,Missed,5,152,Fully Recovered,0,Emails,No
BRW_1134,Charles Brown,38,Female,Self-Employed,94052,1,LN_1134,1380836,48,11.25,Home,1618692.092670819,1154178.6449851121,35856.30377157903,On-Time,0,0,Partially Recovered,3,Settlement Offer,No
BRW_1135,Matthew Williams,39,Male,Business,67532,4,LN_1135,1422419,36,5.28,Auto,1722841.4527804544,733409.7112129633,42810.22126475905,On-Time,0,0,Fully Recovered,0,Calls,No
BRW_1136,Charles Jackson,40,Male,Salaried,189885,1,LN_1136,1806834,60,9.77,Auto,1962222.8539401353,353406.4475718211,38185.72432833226,Delayed,2,63,Pending,2,None,No
BRW_1137,Michael Allen,50,Male,Self-Employed,203996,2,LN_1137,525180,24,17.53,Personal,0.0,419634.8213661089,26100.030256839098,On-Time,0,0,Fully Recovered,1,Emails,No
BRW_1138,Jessica Rodriguez,55,Female,Self-Employed,122948,2,LN_1138,1146910,60,17.61,Personal,0.0,426231.5017612884,28881.196085273445,Delayed,3,96,Pending,1,None,No
BRW_1139,Matthew Davis,43,Female,Salaried,78930,3,LN_1139,283845,12,17.95,Business,0.0,224627.15913430636,26016.153781165474,Missed,4,146,Partially Recovered,3,Emails,No
BRW_1140,Jane Harris,39,Female,Salaried,222799,4,LN_1140,1680640,60,8.47,Home,2430615.4241242865,1378640.3024534225,34456.608150912696,Missed,2,79,Fully Recovered,4,None,No
BRW_1141,Thomas Miller,64,Female,Salaried,178553,3,LN_1141,988356,24,8.33,Personal,0.0,843792.0212805255,44849.56691884177,On-Time,0,0,Fully Recovered,3,Emails,No
BRW_1142,Mark Anderson,58,Male,Self-Employed,210642,4,LN_1142,1421959,60,10.73,Personal,0.0,1173495.5480456757,30725.71011614871,On-Time,0,0,Fully Recovered,0,None,No
